ID,Role,User Story,Acceptance Criteria,Priority,Points
1,Admin,"As an Admin, I want store managers to receive transfer status notifications so that they can prepare for incoming inventory.","Manager notified on transfer state change; notification includes SKU, qty, status, ETA",Should,2
2,Admin,"As an Admin, I want to dispatch approved inventory transfers to stores so that requested products reach their destination.","Only approved transfers dispatchable; dispatch decrements source and marks in-transit",Must,3
3,Admin,"As an Admin, I want to create purchase orders when warehouse stock is insufficient so that required inventory can be replenished.","PO raised when no store can fulfil; PO captures SKU, qty, supplier, expected date",Should,3
4,Admin,"As an Admin, I want to approve transfer requests when sufficient stock is available so that inventory can be dispatched to stores.","Approve available only if source store has stock; routes from best-placed store",Must,3
5,Admin,"As an Admin, I want to verify warehouse stock availability for requested items so that I can decide whether inventory can be transferred immediately.","Shows on-hand qty per location; flags shortfall if none available",Must,2
6,After-Sales,"As an After-Sales Specialist, I want to view all active service requests so that I can monitor ongoing repair workloads.","Lists all active ASTs; shows stage and assignee",Should,2
7,After-Sales,"As an After-Sales Specialist, I want to filter repair requests by status so that I can quickly locate specific service cases.","Filter by stage/status; results update immediately",Should,2
8,After-Sales,"As an After-Sales Specialist, I want to generate invoices for completed repairs so that customers receive a detailed breakdown of charges.","Invoice itemizes parts + labour; only for completed paid repairs",Should,3
9,After-Sales,"As an After-Sales Specialist, I want to schedule customer pickups so that completed items are returned in an organized manner.","Pickup scheduled with date/method (consolidate with #34)",Should,2
10,After-Sales,"As an After-Sales Specialist, I want to view pending customer approvals so that I can follow up on delayed responses.","Lists ASTs awaiting client approval; shows age of request",Should,2
11,After-Sales,"As an After-Sales Specialist, I want to view a product's service history so that I can understand previous repairs before creating a new request.","History by serial number; shows prior ASTs/outcomes",Should,3
12,After-Sales,"As an After-Sales Specialist, I want to verify a product's authenticity so that counterfeit items are not accepted for service.","Authenticity check by serial/certificate; flags suspected counterfeit",Should,5
13,Manager,"As a Manager, I want to delete a Staff profile so that the person who has resigned is not in the database anymore.","Delete requires confirmation; soft-delete + audit-logged; removed staff cannot log in",Should,2
14,Admin,"As an Admin, I want to delete a Manager profile so that the person who has resigned is not in the database anymore.","Delete requires confirmation; soft-delete + audit-logged; removed manager cannot log in",Should,2
15,Admin,"As an Admin, I want to remove a store profile so that the store which is not operational doesn't reflect in database.","Deactivate/remove with confirmation; history retained; hidden from active lists",Should,3
16,Manager,"As a Manager, I want to view event analytics and RSVP reports so that I can evaluate event performance.","Shows invites sent, RSVP breakdown, attendance; exportable",Could,3
17,Manager,"As a Manager, I want to track RSVP responses (Accepted, Declined, Pending) so that I can estimate event attendance.","Real-time RSVP status per invitee; counts per status",Should,2
18,Admin,"As an Admin, I want to receive and review transfer requests raised by managers so that I can evaluate stock needs across the network.","All pending requests listed with SKU, qty, urgency, store; sortable by urgency",Must,2
19,Admin,"As an Admin, I want to set a minimum floor price per SKU per currency so that managers cannot discount below a level that protects brand value and margins.","Floor stored per SKU per currency; enforced on all local prices",Must,3
20,Admin,"As an Admin, I want to create a new SKU with product details and define its launch date so that the product is catalogued and ready for distribution.","SKU unique; launch date not in past; captures name, assets, description",Must,3
21,Admin,"As an Admin, I want to filter the revenue dashboard by country so that I can analyse performance across specific geographies.","Filter recomputes figures for selected country/region; empty shows all",Should,2
22,After-Sales,"As an After-Sales Specialist, I want to log in with my credentials so that I can access only the features and data relevant to my role.","Passkey auth; After-Sales modules only (RBAC)",Must,3
23,Sales Associate,"As a Sales Associate, I want to log in with my credentials so that I can access only the features and data relevant to my role.","Passkey auth; Sales modules only scoped to store",Must,3
24,Manager,"As a Manager, I want to log in with my credentials so that I can access only the features and data relevant to my role.","Passkey auth; Manager modules only scoped to store",Must,3
25,Admin,"As an Admin, I want to log in with my credentials so that I can access only the features and data relevant to my role.","Passkey auth; Admin modules only (RBAC); invalid auth denied",Must,3
26,Admin,"As an Admin, I want the manager profile view to be read-only so that performance records cannot be altered.","No edit controls on manager profile; display-only",Must,1
27,After-Sales,"As an After-Sales Specialist, I want declined repairs to skip the repair workflow and go directly to return/pickup scheduling so that the client can retrieve their item without delay.","Declined estimate routes straight to collection; no repair stage entered",Must,2
28,After-Sales,"As an After-Sales Specialist, I want the repair to proceed only after client approval so that we avoid disputes over unauthorised work.","Repair blocked beyond intake until approval; approval recorded",Must,3
29,After-Sales,"As an After-Sales Specialist, I want to send the cost estimate to the client digitally for approval or decline so that no work begins without the client's consent.","Estimate sent via secure digital link; client decision recorded",Must,3
30,After-Sales,"As an After-Sales Specialist, I want to generate an itemised cost estimate (parts + labour + timeline) so that the client knows exactly what the repair will cost and how long it will take.","Estimate itemizes parts, labour, timeline; total computed",Must,3
31,After-Sales,"As an After-Sales Specialist, I want to scan a final packaging QR before releasing the item so that inventory records are updated and the AST is closed accurately.","Packaging QR scan required before release; closes AST + syncs inventory",Should,3
32,After-Sales,"As an After-Sales Specialist, I want the client to digitally sign off on collection so that we have proof of delivery and the ticket can be formally closed.","Digital signature captured at handover; stored against AST",Should,3
33,After-Sales,"As an After-Sales Specialist, I want to generate return documentation for the completed service so that there is a formal record of the handover.","Return doc generated with item + service details; attached to AST",Should,2
34,After-Sales,"As an After-Sales Specialist, I want to schedule a store pickup or courier for the completed item so that the client can conveniently collect or receive their product.","Pickup or courier selectable; scheduling captured (consolidate with #9)",Should,3
35,After-Sales,"As an After-Sales Specialist, I want to send items back to repair if they fail the QA check so that issues are resolved before the client receives the product.","Failed QA returns item to repair stage; reason logged",Must,2
36,After-Sales,"As an After-Sales Specialist, I want a mandatory QA checklist to be completed before marking a repair as done so that no item is returned to the client without quality verification.","Repair cannot be Completed unless checklist fully done",Must,3
37,After-Sales,"As an After-Sales Specialist, I want to track a repair through defined stages so that the progress is transparent and auditable.","Stages Received -> In Repair -> QA -> Completed; transitions timestamped",Must,3
38,After-Sales,"As an After-Sales Specialist, I want the system to flag out-of-warranty or voided coverage clearly so that the client is informed upfront about potential costs.","Coverage status shown prominently; paid-repair flag set",Must,2
39,After-Sales,"As an After-Sales Specialist, I want to validate whether the product's warranty is still active so that I can flag it as a warranty repair (free) or a paid repair.","Serial lookup returns warranty status; determines free/paid path",Must,3
40,After-Sales,"As an After-Sales Specialist, I want to create an after-sales ticket (AST) tagged with the correct service type (exchange, return, repair, warranty) so that the ticket follows the right workflow.","Service type required; drives downstream workflow",Must,3
41,After-Sales,"As an After-Sales Specialist, I want to capture condition photos and a diagnostic report in-app at intake so that the item's state is documented before any work begins.","Photos + diagnostics captured in-app; stored with AST",Must,3
42,After-Sales,"As an After-Sales Specialist, I want to pull the client's purchase history linked to the product so that I have full context on the original transaction.","Purchase record linked via serial; displayed at intake",Should,2
43,After-Sales,"As an After-Sales Specialist, I want to manually enter product details if the QR scan fails so that I can still create a ticket for items with damaged labels.","Manual entry path available; AST created normally",Should,2
44,After-Sales,"As an After-Sales Specialist, I want to scan a product's QR code to look up the item so that I can quickly identify the product and pull its records.","QR scan resolves SKU/serial; pulls item records",Must,3
45,Sales Associate,"As a Sales Associate, I want to route the completed order as a store sale, BOPIS reservation, or ship-from-warehouse so that the correct fulfilment process is triggered based on the order type.","Order-type selection triggers correct flow; each path produces correct action",Must,3
46,Sales Associate,"As a Sales Associate, I want to process payments via card terminal (tap/swipe) so that clients can pay with credit or debit cards.","Card terminal completes payment; result recorded on order",Must,3
47,Sales Associate,"As a Sales Associate, I want to take payment via Razorpay and issue a digital receipt so that checkout is fast and compliant.","Razorpay (UPI/netbanking/wallet) supported; digital receipt sent to client",Must,5
48,Sales Associate,"As a Sales Associate, I want the system to suggest similar alternative products when the desired item is unavailable so that I can still serve the client without losing the sale.","Out-of-stock triggers AI alternatives; associate can present or dismiss",Should,3
49,Sales Associate,"As a Sales Associate, I want to scan a product's QR code at the point of sale so that both the client's purchase history and the store's inventory records are updated simultaneously in one action.","Single scan updates both atomically; failure rolls back both",Must,5
50,Sales Associate,"As a Sales Associate, I want to check inventory availability (in-store, warehouse, nearby stores) before presenting a product so that I don't recommend items that are out of stock.","Availability shown across three sources; real-time",Must,3
51,Sales Associate,"As a Sales Associate, I want the system to suggest higher-value alternatives at the cart stage so that I can offer upsell options that match the client's taste.","Upsell suggestions appear at cart; associate selects which to add",Should,3
52,Sales Associate,"As a Sales Associate, I want the system to surface complementary products at the cart stage so that I can suggest cross-sell options to the client.","Cross-sell suggestions appear at cart; associate selects which to add",Should,3
53,Sales Associate,"As a Sales Associate, I want the system to suggest trending and similar products for new clients with no purchase history so that I can still offer relevant options.","New client triggers trending/similar model; relevant items displayed",Should,3
54,Sales Associate,"As a Sales Associate, I want the system to generate product recommendations based on a client's purchase patterns and preferences so that I have data-driven suggestions to present.","Recommendations derived from client history; displayed for review",Should,5
55,Sales Associate,"As a Sales Associate, I want to create ship-from-warehouse orders for remote selling so that products not available in-store can be shipped directly to the client.","Order created against warehouse stock; shipping details captured",Should,3
56,Sales Associate,"As a Sales Associate, I want to manage BOPIS pickup alerts so that I can prepare the order and notify the client when it's ready for collection.","Alert on BOPIS order; client notified when ready",Should,3
57,Sales Associate,"As a Sales Associate, I want to conduct a video consultation and share curated cart links with the client remotely so that clients can shop without visiting the store.","Video consult supported; shareable curated cart link generated",Could,5
58,Sales Associate,"As a Sales Associate, I want to book an in-store or video call appointment for a client so that I can provide a scheduled, personalised consultation.","Booking supports both types; reminders scheduled",Should,3
59,Sales Associate,"As a Sales Associate, I want to search for an existing client in the CRM by name or phone number so that I can quickly pull up their profile when they visit.","Search by name/phone returns matches; opens profile",Must,2
60,Sales Associate,"As a Sales Associate, I want to create a new client card with basic consented details (name, phone, style preferences) so that I can start building a personalised shopping experience.","Captures name, phone, style prefs; persisted only if consent granted",Must,3
61,Manager,"As a Manager, I want to adjust the selling price of products within the pricing band defined by the Admin so that I can respond to local market conditions while complying with corporate pricing policies.","Editable only within band; cannot exceed max or go below floor",Must,3
62,Manager,"As a Manager, I want the system to block me from saving a price below the Admin's floor so that I cannot breach corporate pricing policy accidentally.","Below-floor save rejected with minimum shown; no save persists",Must,2
63,Manager,"As a Manager, I want to monitor the approval status of my stock requests so that I know when requested inventory will be allocated or delivered to my store.","Each request shows status (pending/approved/routed/delivered); real-time",Should,2
64,Manager,"As a Manager, I want low-stock items to be flagged automatically for reorder so that I can take action before the product runs out.","SKU below threshold auto-flagged; visible on dashboard",Must,3
65,Manager,"As a Manager, I want to raise stock requests by specifying the SKU, required quantity, and urgency level so that the Admin can replenish inventory before products run out.","Request captures SKU, qty, urgency; submitted to Admin queue",Must,3
66,Manager,"As a Manager, I want to view performance metrics, units sold, upsell rate, and client satisfaction score of the sales associate so that I can evaluate employee performance.","Per-associate metrics displayed; date-range filterable",Should,3
67,Manager,"As a Manager, I want to review shift histories so that I can monitor employee attendance.","Shift history per associate; shows dates/hours",Could,2
68,Manager,"As a Manager, I want to send digital invitations so that customers can be notified about events.","Invites sent via digital channel; linked to event",Should,2
69,Manager,"As a Manager, I want to create a VIP or launch event with name, date, time, venue, and description so that the event is formally scheduled.","Required fields validated; optionally linked to Admin product launch",Should,3
70,Admin,"As an Admin, I want to view a cross-store revenue dashboard with monthly breakdowns so that I can monitor business performance at a glance.","Shows daily/weekly/monthly actuals vs targets; aggregates across stores",Must,5
71,Admin,"As an Admin, I want to view each manager's currently assigned store so that I know who is responsible for which location at any time.","Lists managers with current store; searchable",Should,2
72,Admin,"As an Admin, I want to assign a manager when creating a store so that the store has operational ownership from day one.","Store creation accepts manager assignment; linked to store",Must,2
73,Admin,"As an Admin, I want to configure payment terminals (Razorpay and card) for a new store so that the store can accept payments from day one.","Store config captures Razorpay + card terminal; validated before go-live",Must,3
74,Admin,"As an Admin, I want to assign a locale, currency, and timezone to each store so that all transactions, reports, and communications reflect the store's local context.","Locale, currency, timezone captured at creation; applied to transactions/reports",Must,2
75,Admin,"As an Admin, I want to create a new store profile with name, address, and contact details so that the store is registered in the system and visible across the platform.","Required fields validated; created store appears in active list",Must,3
76,After-Sales,"As a Customer, I want to receive automated notifications at every service milestone (Received, Estimated, Approved, In Repair, Ready, Dispatched) so that I stay informed without contacting the store.","Push/SMS sent at each milestone; message references the AST",Must,3
77,Customer,"As a Customer, I want to approve or decline a repair estimate via a secure link without creating an account so that I can authorise work quickly and safely.","Tokenized single-use time-limited link; decision recorded against AST; expired/used link rejected",Must,5
78,Customer,"As a Customer, I want to digitally sign off on collection via a secure link so that handover is confirmed remotely.","Link scoped to collection action; signature stored; link invalidated after use",Should,3
79,Admin,"As an Admin, I want to upload product assets and push them with pricing to all target stores simultaneously on launch so that the product goes live everywhere at once.","Assets + pricing pushed to selected stores in one action; all target stores reflect launch",Must,5
80,Admin,"As an Admin, I want a global stock map of on-hand quantities per SKU across all stores so that I can route transfers from the best-placed store.","Map/list shows per-store on-hand per SKU; supports transfer routing",Should,3
81,Admin,"As an Admin, I want to view each manager's performance history across locations so that I can make informed reassignment decisions.","Read-only history spanning prior stores; shows KPIs per location",Should,3
82,Manager,"As a Manager, I want to search and view real-time on-hand stock per SKU in my store so that I know exactly what's available before promising it to a client.","Search/scan SKU shows live on-hand; reflects latest scans/sales",Must,3
83,Sales Associate,"As a Sales Associate, I want to review, reorder, and curate AI recommendations before presenting them so that I keep human judgment over what the client sees.","Accept/remove/reorder before presenting; only curated set shown to client",Should,3
84,Sales Associate,"As a Sales Associate, I want a declined or cancelled payment to preserve the cart without changing inventory so that I can retry without data loss.","On decline cart intact; inventory not decremented",Must,2
85,Sales Associate,"As a Sales Associate, I want to verify a client's digital receipt at BOPIS pickup so that only the correct person collects the reserved item.","Receipt validated against reservation; mismatch blocks handover",Should,2
86,All,"As any user, I want the app to lock after inactivity and let me sign out so that store devices stay secure.","Idle timeout locks app and requires re-auth; explicit sign-out clears session",Must,2
87,Sales Associate,"As a Sales Associate, I want POS checkout to work offline and sync when reconnected so that I can sell during network outages.","Sales recorded offline; sync on reconnect with conflict handling",Should,8
88,Customer,"As a Customer, I want to manage my consent and request data deletion so that my privacy rights are respected (GDPR).","Consent capture/withdrawal; data export/deletion supported",Should,5
89,All,"As any user, I want full accessibility (Dynamic Type, VoiceOver, sufficient contrast) so that the app is usable by everyone.","Dynamic Type across screens; VoiceOver labels; WCAG AA contrast",Should,5
